node_u,node_v,weight,directed_edge_count
100470837,60377070,34,1
100649664,357707809,77,1
100656827,148087762,201,1
101107622,16563587,31,1
101767772,358917318,46,1
101769985,44781140,15,1
1020639,31315021,38,1
102343794,99919302,11,1
10262364,77385607,18,1
102792138,16563587,27,1
104327447,17165658,88,1
105088940,4254338,19,1
105088940,507775,674,1
105088940,77385607,361,1
1050944,574877,16,1
105379569,268163609,60,1
105711679,396856161,18,1
105944401,184149296,16,1
105944401,531406663,16,1
105944401,680247452,15,1
105944401,927442,48,1
10610797,11695619,12,1
10610797,77385607,77,1
106310,453068084,37,1
10637893,7437073,16,1
10637896,11695619,30,1
10637896,17165658,16,1
10637896,334274271,29,1
10637896,3786237,15,1
10637896,45732002,12,1
10637896,77385607,18,1
1064563,114619105,23,1
1064563,16189524,24,1
1064563,17165658,39,1
1064563,30449481,23,1
1064563,3786237,77,1
1064563,396867188,38,1
1064563,77385607,592,1
10746583,17165658,35,1
10746583,7437073,17,1
108050,3786237,26,1
108050,396867188,13,1
108187130,1917262,18,1
108883568,6838921,25,1
108979839,385634291,10,1
109162639,6838921,10,1
11002815,34533675,14,1
11008207,133275023,10,1
11008207,154422394,82,1
11008207,225690537,803,1
11008207,23096959,147,1
11008207,257485422,117,1
11008207,27522271,231,1
11008207,276685482,785,1
11008207,32741886,12,1
11008207,8507859,14,1
11061773,30449481,203,1
11061773,639434928,13,1
11131631,388946490,287,1
11206255,16563587,29,1
11225014,164008820,51,1
11225014,187086161,122,1
11225014,192624594,18,1
11225014,192625955,21,1
11225014,197814629,72,1
11225014,20580498,45,1
11225014,21306961,11,1
11225014,23096959,32,1
11225014,232539879,13,1
11225014,242202166,37,1
11225014,259445878,229,1
11225014,27146054,21,1
11225014,27522241,28,1
11225014,27522271,35,1
11225014,27522282,24,1
11225014,27522295,25,1
11225014,27729907,125,1
11225014,33352201,19,1
11225014,383185912,10,1
11225014,421101922,32,1
11225014,43225113,36,1
11225014,52034309,27,1
11225014,571342238,42,1
11225014,57939112,12,1
11225014,7823926,17,1
11225014,79954708,10,1
11225014,92132038,10,1
11225014,94593596,97,2
11225014,96237042,12,1
11225909,334274271,19,1
11233996,3786237,111,1
1123727,158975124,10,1
1123727,77385607,52,1
112504288,6838921,31,1
1126087,20089857,129,1
113677984,11695619,10,1
113677984,396867188,14,1
113677984,77385607,44,1
113678060,77385607,22,1
113678093,11695619,12,1
113678112,11695619,11,1
113678112,396867188,10,1
113678133,11695619,15,1
113678133,206686299,15,1
113678153,396867188,10,1
113678153,77385607,21,1
113678351,77385607,20,1
113678408,11695619,17,1
113678408,16189524,13,1
113678408,206686299,15,1
113678408,3786237,120,1
113678408,396867188,15,1
113678408,45732002,11,1
113678408,73235061,12,1
113678408,77385607,24,1
113678674,11695619,29,1
113678772,77385607,25,1
113678857,16189524,10,1
113678857,3786237,341,1
113918130,6838921,13,1
11403699,20089857,16,1
114187903,11939484,57,1
114187903,54980593,21,1
11452538,385634291,44,1
114619105,129954828,16,1
114619105,17165658,93,1
114619105,18260583,31,1
114619105,182849188,12,1
114619105,206444,30,1
114619105,23088740,81,1
114619105,34685800,12,1
114619105,38829639,10,1
114619105,76474200,43,1
114705574,268163609,29,1
114705611,268163609,26,1
114705611,496817075,18,1
114735865,268163609,11,1
1148753,196353673,17,1
11599760,351806852,30,1
116259506,422821402,17,1
11695619,11966919,11,1
11695619,1334607,14,1
11695619,14696091,43,1
11695619,18128548,34,1
11695619,181510702,12,1
11695619,192625955,10,1
11695619,197814629,14,1
11695619,2045207,196,1
11695619,206371,22,1
11695619,206427,13,1
11695619,215566462,10,1
11695619,24499046,16,1
11695619,27721932,33,1
11695619,27954927,35,1
11695619,288485773,10,1
11695619,29102367,55,1
11695619,298328,10,1
11695619,35700771,25,1
11695619,4624165,10,1
11695619,4950187,16,1
11695619,5663857,82,1
11695619,567634,12,1
11695619,60111626,38,1
11695619,832680,105,1
118517813,453068084,43,1
1187853,45732002,14,1
1187853,77385607,15,1
11939484,20089857,36,1
11939484,351806852,28,1
11939484,50874442,17,1
119439276,158975124,11,1
120538653,358917318,94,1
120538653,442441933,90,1
120538653,496817075,18,1
120538653,510375115,10,1
12191244,30449481,99,1
122193808,507775,14,1
122782022,911980,10,1
123690489,17165658,15,1
124409889,86868560,28,1
124802455,268163609,35,1
124802455,358917318,16,1
124802455,496817075,13,1
12488647,30449481,16,1
12488647,7437073,22,1
12499251,3786237,22,1
12499251,453068084,22,1
12499251,77385607,10,1
125238132,16563587,1118,1
125266328,31315021,181,1
12550138,31315021,52,1
12574344,60377070,27,1
125824259,223442049,23,1
125824259,3237873,10,1
126238614,220186120,10,1
126238614,422821402,10,1
127420809,357707809,20,1
128096570,44781140,12,1
128778692,30449481,21,1
128842710,388946490,189,1
129717717,385634291,28,1
129883659,396867188,10,1
129883659,7437073,24,1
129954828,17165658,25,1
130040931,334274271,11,1
130688011,177210627,18,1
130688011,184286875,25,1
130688011,189476904,175,1
130688011,203697873,173,1
130688011,212857695,20,1
130688011,215108366,205,1
130688011,222735791,18,1
130688011,22531552,121,1
130688011,241092383,354,1
130688011,268274269,96,1
130688011,287743349,139,1
130688011,288485773,211,1
130688011,288487894,305,1
130688011,295544240,16,1
130688011,298565987,864,1
130688011,301727732,34,1
130688011,306769011,751,1
130688011,307760976,76,1
130688011,34406933,17,1
130688011,345619662,20,1
130688011,357936578,20,1
130688011,359812205,182,1
130688011,41473746,20,1
130688011,528342545,36,1
130688011,54503347,18,1
130688011,67836789,31,1
130688011,84517704,72,1
13078968,158975124,16,1
13078968,7437073,10,1
13124802,223485832,29,1
13124802,36960321,13,1
13124802,6838921,16,1
131347954,388946490,150,1
132145189,150954997,21,1
132145189,396856161,27,1
132145189,41986369,13,1
132145189,422821402,30,1
13258039,351806852,680,1
133067498,385634291,58,1
13310527,156018,12,1
13310527,16563587,33,1
13310527,60246359,11,1
133411492,16563587,237,1
134683798,507775,10,1
1357199,357707809,10,1
1357199,5844474,21,1
13624859,30449481,15,1
1362490,20089857,21,1
1362490,206417,15,1
1362490,268163609,18,1
1362490,31315021,57,1
13628513,385634291,37,1
136494223,396856161,13,1
13655592,31315021,60,1
13655949,60246359,10,1
1372698,31315021,23,1
137444487,148087762,254,1
13745124,334274271,48,1
137814779,31315021,291,1
137855319,141376301,13,1
138597372,268163609,10,1
138754790,155379486,23,1
138754790,20675635,10,1
138754790,298763623,16,1
138754790,358917318,12,1
138754790,388946490,16,1
138754790,416315721,10,1
138754790,442441933,16,1
138754790,44662669,11,1
138754790,478886268,21,1
138754790,480217156,12,1
138754790,483185939,18,1
138754790,51905353,15,1
138754790,586785918,23,1
138754790,650194867,13,1
138754790,681989124,13,1
139499718,357707809,30,1
140029949,148087762,59,1
141339868,16563587,598,1
141345580,357707809,43,1
141376301,144999365,19,1
14173176,34533675,13,1
142017296,2649214,18,1
14210523,25780780,98,1
142161875,77385607,11,1
143040428,156018,69,1
143220272,357707809,35,1
143220272,496817075,18,1
14367737,268163609,235,1
14367737,496817075,29,1
14367737,510375115,23,1
14389056,911980,10,1
144751911,358917318,11,1
144952955,86868560,12,1
145900295,77385607,18,1
146459443,257933864,25,1
14696091,3786237,140,1
148087762,205564111,593,1
148087762,240151150,118,1
148087762,241268229,434,1
148087762,244496643,156,1
148087762,351019317,11,1
148087762,80311370,18,1
148087762,87362999,73,1
149121954,17165658,12,1
149121954,341631350,10,1
14934771,268163609,39,1
150154628,388946490,112,1
15062869,16563587,26,1
150954997,180155433,22,1
150954997,192624594,32,1
150954997,197814629,13,1
150954997,200299178,35,1
150954997,214266955,16,1
150954997,23096959,14,1
150954997,259626767,23,1
150954997,2606873,10,1
150954997,262521997,43,1
150954997,27096595,13,1
150954997,28233924,12,1
150954997,39468142,13,1
150954997,6838921,63,1
150954997,7004897,16,1
150954997,96004375,48,1
150988662,220186120,30,1
15111821,385634291,28,1
151122650,3786237,27,1
153694833,86868560,14,1
15500883,268163609,73,1
15500883,351806852,29,1
15500883,357707809,45,1
15500883,453068084,11,1
155652490,496817075,19,1
156018,168712350,15,1
156018,259445878,18,1
156018,321908167,30,1
156018,360734598,15,1
156018,58132544,16,1
156018,671043970,15,1
156018,915844,20,1
15661465,73235061,28,1
157827731,206686299,20,1
15807269,334274271,43,1
158256479,166515022,106,1
158256479,17165658,10,1
158256479,206444,24,1
158256479,5349565,26,1
158403775,16563587,17,1
158477175,60246359,12,1
158975124,2045207,23,1
158975124,242202166,19,1
158975124,257485422,17,1
158975124,283325,21,1
158975124,30553392,11,1
158975124,3678731,11,1
158975124,6296790,20,1
158975124,6818061,11,1
159271175,31315021,102,1
159351868,473235285,11,1
159548561,5844474,20,1
159907380,41986369,147,1
159907380,48833910,15,1
160615620,496817075,13,1
16189524,206371,22,1
16189524,2560988,19,1
16189524,283325,12,1
16189524,33816473,20,1
16189524,3604157,16,1
16189524,537800,12,1
16189524,6207167,10,1
16189524,7508411,14,1
16189524,7639232,13,1
16189524,832680,28,1
16211818,388946490,48,1
162484658,16563587,17,1
162725910,16563587,11,1
16287235,334274271,17,1
164668916,357707809,22,1
16489874,334274271,95,1
165536154,639434928,16,1
16554739,507775,14,1
16563587,187943341,17,1
16563587,190416463,32,1
16563587,19608522,24,1
16563587,20929025,18,1
16563587,21440127,94,1
16563587,22938893,25,1
16563587,23096959,162,1
16563587,23727431,14,1
16563587,250652185,15,1
16563587,273550906,11,1
16563587,274116286,11,1
16563587,274705319,21,1
16563587,27729907,77,1
16563587,27929056,48,1
16563587,352804165,17,1
16563587,3698588,30,1
16563587,394028369,10,1
16563587,408656417,10,1
16563587,422379561,52,1
16563587,42610470,18,1
16563587,438013940,23,1
16563587,470755469,16,1
16563587,48004987,64,1
16563587,49441405,55,1
16563587,50565430,21,1
16563587,51905353,70,1
16563587,54173593,42,1
16563587,54502204,25,1
16563587,571342238,273,1
16563587,63925755,14,1
16563587,645378455,18,1
16563587,69170505,12,1
16563587,80430781,14,1
16563587,8507859,92,1
16563587,9120526,77,1
16563587,927442,105,1
166282681,166515022,836,1
166515022,166763279,10,1
166515022,167949879,14,1
166515022,182849188,35,1
166515022,19961085,12,1
166515022,206444,12,1
166515022,20675635,10,1
166515022,236570369,11,1
166515022,35144191,15,1
166515022,4681328,22,1
166515022,5349565,176,2
166515022,8024331,15,1
167317243,41986369,16,1
167499157,41986369,74,1
167499157,48833910,11,1
167615437,50874442,127,1
1680733,334274271,19,1
1680733,77385607,16,1
168736310,334274271,2177,1
16907502,60377070,18,1
170411418,385634291,19,1
17165658,182849188,81,1
17165658,19684359,17,1
17165658,20300177,12,1
17165658,2045207,24,1
17165658,206444,17,1
17165658,206483,11,1
17165658,20675636,17,1
17165658,212465715,31,1
17165658,23357588,34,1
17165658,23418517,17,1
17165658,2604249,11,1
17165658,27729926,11,1
17165658,279553,16,1
17165658,27994296,15,1
17165658,2888818,55,1
17165658,28900400,32,1
17165658,3038937,14,1
17165658,31339163,38,1
17165658,31933589,23,1
