event_type,target_membership_status,count,overall_share,within_row_share,within_status_share
CommitCommentEvent,NON_PROJECT,20465,0.00546013183290209,0.5271902934130194,0.012132706254524199
CommitCommentEvent,PROJECT_MAPPABLE,18138,0.004839280292459228,0.46724542105669903,0.011435466970301074
CommitCommentEvent,UNRESOLVED,216,5.762953705872717e-05,0.005564285530281563,0.0004545511938282049
IssueCommentEvent,CONFLICT_EXCLUDED,2,5.336068246178441e-07,1.1008663267558405e-06,0.6666666666666666
IssueCommentEvent,NON_PROJECT,1127411,0.3007971018746141,0.6205644031570644,0.6683873193803753
IssueCommentEvent,PROJECT_MAPPABLE,448149,0.11956768242283111,0.2466760717346516,0.2825445521707717
IssueCommentEvent,UNRESOLVED,241189,0.0643500482113766,0.13275842424195722,0.5075590180010691
IssuesEvent,NON_PROJECT,53786,0.014350288334447682,0.31846387040238733,0.0318871115859193
IssuesEvent,PROJECT_MAPPABLE,110445,0.0294671028724589,0.6539386116571537,0.06963227199993947
IssuesEvent,UNRESOLVED,4661,0.0012435707047718856,0.02759751794045899,0.009808625529783625
PullRequestEvent,NON_PROJECT,174606,0.04658547660961165,0.52037623160417,0.10351543162850975
PullRequestEvent,PROJECT_MAPPABLE,149225,0.0398137392017989,0.44473353241659663,0.09408190311187441
PullRequestEvent,UNRESOLVED,11707,0.0031234675479005504,0.03489023597923335,0.02463625382475368
PullRequestReviewCommentEvent,NON_PROJECT,7951,0.0021213539312682395,0.15068986430141762,0.0047137623957841145
PullRequestReviewCommentEvent,PROJECT_MAPPABLE,27310,0.007286401190156662,0.517587749222955,0.017218138877435347
PullRequestReviewCommentEvent,UNRESOLVED,17503,0.004669860125643063,0.3317223864756273,0.036833377525810514
PullRequestReviewEvent,NON_PROJECT,27930,0.0074518193057881935,0.3847266415967602,0.016558342814017146
PullRequestReviewEvent,PROJECT_MAPPABLE,26426,0.007050546973675575,0.3640095320743281,0.01666080329458464
PullRequestReviewEvent,UNRESOLVED,18241,0.004866761043927048,0.25126382632891164,0.038386427438056876
PushEvent,CONFLICT_EXCLUDED,1,2.6680341230892204e-07,8.576130741397927e-07,0.3333333333333333
PushEvent,NON_PROJECT,268673,0.07168287319527501,0.2304174774683605,0.1592831950902409
PushEvent,PROJECT_MAPPABLE,750725,0.20029599170561552,0.6438315750835958,0.473309678094568
PushEvent,UNRESOLVED,146628,0.039120850740032624,0.12575008983496952,0.30856450207704644
ReleaseEvent,NON_PROJECT,5941,0.001585079072527306,0.061443789430137556,0.0035221308506292823
ReleaseEvent,PROJECT_MAPPABLE,55700,0.014860950065606959,0.5760678456924191,0.035117185480525406
ReleaseEvent,UNRESOLVED,35049,0.00935119279801541,0.3624883648774434,0.07375724440965163
