project_id,undirected_degree,undirected_strength,local_clustering,betweenness_brokerage,community_id
60246359,359,1086.0,0.0023653537915687,0.1096036616113537,0
334274271,307,43595.0,0.0016393093610951,0.0900653925279902,6
17165658,310,2234.0,0.0039252531579496,0.0798060652369892,3
11225014,233,1734.0,0.0031078881160278,0.0783770523825827,2
453068084,317,2037.0,0.0029948488599608,0.0764347808839273,1
16563587,272,4257.0,0.0032287822878228,0.0715368059117939,7
6838921,188,1708.0,0.0066560473318921,0.0707821325908919,2
507775,157,2068.0,0.0067777233382328,0.0593237829955027,5
138754790,219,635.0,0.0033932386577855,0.0590711025647511,0
358917318,181,1449.0,0.0100675260896255,0.0553318079031865,1
166515022,186,1640.0,0.0097646033129904,0.0500848912273275,3
197814629,34,692.0,0.0338680926916221,0.0498676586463276,4
268163609,179,5015.0,0.0043939489046513,0.0432319549990842,1
156018,110,390.0,0.0035029190992493,0.0423373491154989,0
6934395,66,775.0,0.02004662004662,0.0383454410557775,8
190416463,24,96.0,0.0507246376811594,0.0360093474033373,7
422821402,100,983.0,0.0024242424242424,0.0355860320034638,2
208728772,117,437.0,0.0042735042735042,0.0319946276008287,17
41986369,145,1354.0,0.0081417624521072,0.0309297985799314,2
302827809,127,418.0,0.0104986876640419,0.0307173895847096,1
388946490,121,4748.0,0.0111570247933884,0.030337966939215,8
351806852,138,1802.0,0.0009520787051729,0.0295863813276271,10
150954997,119,627.0,0.0116792479703745,0.0283790708161515,2
619008516,42,49.0,0.0348432055749128,0.0279946497863604,0
75425073,69,839.0,0.000852514919011,0.0279134137301904,8
385634291,123,3721.0,0.0070638411302145,0.0277003984033744,2
5349565,71,1047.0,0.0229376257545271,0.0276665780852998,8
130688011,115,4192.0,0.005949656750572,0.0270945727624246,16
3786237,142,5017.0,0.0033962641094795,0.0260746526007304,4
546206616,86,767.0,0.0027359781121751,0.0248499292955652,15
23357588,21,550.0,0.0761904761904762,0.0242441312699247,4
19961085,125,314.0,0.0074838709677419,0.0240059885276696,3
341631350,95,680.0,0.0087346024636058,0.0230894908900883,5
23096959,32,440.0,0.0826612903225806,0.0228253716076626,7
49876476,118,240.0,0.0,0.0225442033110478,9
52855516,21,45.0,0.0714285714285714,0.0221538096910426,18
11008207,95,2380.0,0.0035834266517357,0.0220878098706467,14
7437073,78,486.0,0.0,0.0220826011060388,4
20587599,90,322.0,0.0157303370786516,0.0217440242646058,3
480217156,114,372.0,0.0125756870051234,0.0216636008587483,1
30449481,80,1850.0,0.0085443037974683,0.0215595773045057,13
9342529,62,889.0,0.0195663670015864,0.0211689327435844,5
911980,79,660.0,0.0,0.0210064929506057,0
20300177,32,244.0,0.0725806451612903,0.0209627993774486,4
114619105,131,652.0,0.0098649442160892,0.0209315668295056,3
6358188,118,392.0,0.0040562074460379,0.0207828233180542,4
99919302,71,182.0,0.0221327967806841,0.0191374158495211,7
11695619,91,1136.0,0.0,0.0187956651086051,4
51905353,28,201.0,0.1269841269841269,0.0186641639405513,7
927442,21,2200.0,0.0904761904761904,0.0181821998765725,11
